start,end,id,v,a,d,emotion,emo_evo,signal,transcription,path_to_wav
74.21,77.53,Ses01M_impro04_F007,3.0,3.0,2.5,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[  217   234   257 ... -1875 -1216  -383],...has anyone ever just said anything like that to you before?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
84.99,87.2706,Ses01M_impro04_F008,3.0,3.5,3.0,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[-292 -800 -905 ...   17   36   58],"Right, sure.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
87.29,91.63,Ses01M_impro04_F009,2.5,2.5,3.5,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[ 21  -5 -29 ... 313 315 276],"But I mean you kind of got to, you got to fake it 'til you feel it, right?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
95.19,103.235,Ses01M_impro04_F010,2.5,3.0,3.5,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[  54   80   86 ... 3759 1742 -303],I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
104.73,116.885,Ses01M_impro04_F011,2.5,3.5,3.5,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[-1352 -1193 -1052 ...    45   -61  -159],No.  I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
118.0,119.79,Ses01M_impro04_F012,2.5,3.0,3.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ 32  39  34 ... -25 -19 -29],No.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
120.22,125.24,Ses01M_impro04_F013,2.5,3.0,2.5,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[ 17 -12 -43 ...   3  38 -69],"Well, you know a little.  If you were to listen to--",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
128.79,131.74,Ses01M_impro04_F014,3.0,2.5,3.5,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[  1  -4 -36 ... 117 108  93],I just don't want you to fly off the handle.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
135.94,138.22,Ses01M_impro04_F015,3.0,2.5,2.5,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[1176 1115 1061 ...  306  216  230],You kind of have a short fuse.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
138.5,139.99,Ses01M_impro04_F016,2.5,2.5,2.5,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[526 349 137 ... -97 -70 -63],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
141.06,145.04,Ses01M_impro04_F017,3.0,3.0,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-199  -44   90 ...  595  694  683],"Like this, right now we're trying have a conversation.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
145.21,153.05,Ses01M_impro04_F018,2.5,3.5,3.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-1629 -1508 -1410 ...   -93   -89   -65],We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
153.75,157.795,Ses01M_impro04_F019,2.5,3.0,4.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ 156   99   25 ... -113 -105  -86],I can't finish the sentence with you without you jumping in...,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
157.97,160.35,Ses01M_impro04_F020,2.5,3.0,3.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-18 -24 -41 ... 102  78  65],...and you're always right.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
162.17,164.99,Ses01M_impro04_F021,3.5,2.5,3.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ -20  -30  -26 ...  -69  -78 -102],You have an excuse for everything.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
166.29,172.94,Ses01M_impro04_F022,3.0,3.0,3.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ -28   -2   22 ... -157  -74   22],I'm just saying that maybe you should take in some information before you produce more of your own.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
178.1672,181.0057,Ses01M_impro04_F023,4.0,3.5,3.0,neu,"[['neu'], ['fru'], ['neu'], ['sur', 'hap']]",[-34  22 -11 ... 162 194 205],[BREATHING],/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
186.3825,189.6225,Ses01M_impro04_F025,3.0,3.5,3.0,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[ 18  23  18 ... -86 -77 -68],"Well, what kind of field are you looking to go into?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
119.31,120.59,Ses01M_impro04_M014,2.5,2.5,2.5,ang,"[['ang'], ['ang'], ['fru'], ['fru', 'ang']]",[-68 -67 -55 ... -17  -4  12],What?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
139.46,147.2,Ses01M_impro04_M018,1.5,5.0,4.5,ang,"[['ang'], ['ang'], ['fru', 'ang'], ['fru', 'sur', 'ang']]",[ -33  -86 -109 ...   25  -33  -63],"Okay. Okay no, no, no, no okay no, I need to hear this more. Come on, bring it.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
172.34,178.643,Ses01M_impro04_M023,2.0,4.5,5.0,ang,"[['ang'], ['ang'], ['fru'], ['fru', 'exc', 'ang']]",[369 382 348 ...  17  -4 -38],I'm like a sponge I'm like soaked up with all this information for like three years I'm just dying for a job to like put it in to.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
189.3,190.8275,Ses01M_impro04_M025,4.5,4.5,1.0,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[ -75 -106 -126 ...  -68  -67  -94],That's it.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
2.2687,4.32,Ses01M_impro05_F000,3.0,3.0,3.0,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[   79    70    51 ... -3549 -3386 -2422],Can I help you?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
7.23,9.88,Ses01M_impro05_F001,3.0,2.5,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[-213 -223 -239 ...   95   91   77],I need a little more information.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
10.1725,13.7,Ses01M_impro05_F002,3.0,2.5,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[ 4847  1622  -785 ... -1930 -1306 -1082],What- What flight did you come in on?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
15.125,16.415,Ses01M_impro05_F003,3.0,3.5,2.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[   177    137    163 ... -18072 -19483 -17355],Georgia?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
17.97,22.03,Ses01M_impro05_F004,3.0,3.0,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[-6787 -7753 -8260 ...   -65   -58    43],"There's no need for you to raise your voice, sir.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
22.2,25.06,Ses01M_impro05_F005,2.5,2.5,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[ -30   94   48 ... -626 -623 -624],I've been college educated.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
25.1125,27.86,Ses01M_impro05_F006,2.5,2.5,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[ -73  -89 -115 ... 1484 1726 1691],I speak your language.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
30.5125,33.31,Ses01M_impro05_F007,2.5,2.0,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu', 'sur']]",[ -259  -222  -144 ... -8541 -2676  4140],I'm just saying you don't need to talk to me like I-,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
45.67,49.92,Ses01M_impro05_F011,3.5,3.0,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[  24   52    5 ... -265 -201 -170],"Details, Details.  Well, anyhow can I--",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
49.92,52.31,Ses01M_impro05_F012,3.0,3.5,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[-126  -65  -46 ... 2464 2539 2705],so you flew in from Atlanta...,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
53.7075,56.24,Ses01M_impro05_F013,3.0,2.5,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[-1039  -988 -1009 ...   -21    -1    18],Four...Four hours ago.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
58.5,60.23,Ses01M_impro05_F014,3.0,2.5,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[ -803  -839  -813 ... -2703 -2883 -2669],Do you have any i-?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
61.48,67.48,Ses01M_impro05_F015,2.5,3.5,4.0,neu,"[['ang'], ['neu'], ['neu'], ['neu', 'sur']]",[ 43  51  38 ...  56  -3 -21],I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
67.51,73.25,Ses01M_impro05_F016,2.5,3.0,4.0,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[  -6   43   73 ... -194 -253  -57],I had nothing to do with the boarding attendance.  I'm sorry that your seat was wherever it was.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
91.41,100.24,Ses01M_impro05_F017,2.5,3.0,3.0,neu,"[['fru'], ['neu'], ['neu'], ['neu', 'fea']]",[180 125  86 ...  21  -2 -34],"I have some unfortunate news, uh, that your bag isn't going to be--",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
100.24,102.86,Ses01M_impro05_F018,3.0,3.0,3.5,neu,"[['sad'], ['neu'], ['neu'], ['neu']]",[-36 -44 -49 ... 139 111 100],--arriving any time soon.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
102.92,106.17,Ses01M_impro05_F019,2.0,4.0,4.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[-292 -292 -268 ...  834  892  930],I'm really sorry to tell you this but...,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
107.93,114.19,Ses01M_impro05_F020,3.5,3.5,4.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[ 87  73  51 ... 195 278 283],It's not.  I can offer you fifty dollars and a reimbursement gift cards for our airline...,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
114.19,115.47,Ses01M_impro05_F021,3.0,2.5,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[  268   294   281 ... -1092  -657   323],...and your future...,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
117.22,118.7,Ses01M_impro05_F022,3.0,2.5,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[-146 -160 -177 ...    4    0  -31],No.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
119.6225,121.23,Ses01M_impro05_F023,3.0,2.5,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu', 'fea']]",[ 77  69  69 ...  90 114 133],Yes.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
125.2,127.13,Ses01M_impro05_F024,3.0,3.0,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[  52   57   45 ... 7044 6336 5789],We've actually...,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
129.24,133.83,Ses01M_impro05_F025,3.0,3.0,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[  3 105 -10 ...  83  77  84],They do as matter of fact.  We don't like to publicize it because,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
133.83,136.87,Ses01M_impro05_F026,3.0,2.0,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[  91  101  126 ... 4371 3458 1650],people wouldn't Fly our airline.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
142.65,144.12,Ses01M_impro05_F027,3.0,2.5,2.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[  371   833   418 ... -3010 -1999 -1032],What was that?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
148.72,150.76,Ses01M_impro05_F028,2.5,2.0,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[   43    12   -18 ... -1445 -1323 -1109],That's unfortunate.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
155.57,157.29,Ses01M_impro05_F029,2.5,2.5,2.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[ 571  600  536 ... 4947 3843 2919],That's too bad.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
158.87,160.93,Ses01M_impro05_F030,2.5,2.5,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[  90  -31 -393 ... -462 -344  -33],I wish I could give it to you.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
161.34,162.59,Ses01M_impro05_F031,2.5,3.0,2.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[  110  -170  -255 ...  -304  -801 -1224],I wish I-,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
163.69,166.1,Ses01M_impro05_F032,2.0,2.5,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[   -43    -33    -73 ...  -8876 -15398 -13440],That's not - no.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
166.37,167.6,Ses01M_impro05_F033,3.0,2.5,3.0,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[-1060  -384   127 ... -1974 -4204 -5744],No.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
173.09,178.46,Ses01M_impro05_F034,2.0,3.5,3.5,neu,"[['ang'], ['neu'], ['neu'], ['neu']]",[ -83  -22 -120 ...   39   29    4],We have plenty of aggressive searching going on it's not there.  Someone's taken it.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
26.1923,31.08,Ses01M_impro05_M004,1.5,4.0,4.5,ang,"[['ang'], ['ang'], ['ang'], ['ang']]",[ 73  58  10 ... 411 152 -43],Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
31.78,34.83,Ses01M_impro05_M005,1.0,4.5,5.0,ang,"[['ang'], ['ang'], ['ang'], ['ang']]",[-250 -171  -50 ...   65   77   68],"Listen, shut your smug mouth, okay?  I don't need that.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
34.85,37.67,Ses01M_impro05_M006,1.0,4.5,5.0,ang,"[['ang'], ['ang'], ['ang'], ['ang']]",[-72 -55 -33 ...  35  88  68],I've been sitting here for four hours.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
37.715,41.47,Ses01M_impro05_M007,1.0,4.5,4.5,ang,"[['ang'], ['ang'], ['ang'], ['ang']]",[  50   36   33 ... 1026  892  789],You people have just been tossing me around like a used hanky.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
42.835,46.02,Ses01M_impro05_M008,1.0,4.0,5.0,ang,"[['fru'], ['ang'], ['ang'], ['ang']]",[-56 -76 -33 ...  21 -42 -82],You work here.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
105.39,107.46,Ses01M_impro05_M015,2.5,2.0,3.0,neu,"[['neu'], ['neu'], ['ang'], ['fru']]",[ 661  708  532 ... -137 -149 -170],Okay.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
134.9988,137.5,Ses01M_impro05_M020,2.0,3.0,3.5,ang,"[['fru'], ['ang'], ['ang'], ['fru']]",[-160 -146 -113 ...  -76  -50  -40],Probably people that work for your company huh?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
137.5,143.35,Ses01M_impro05_M021,1.5,4.0,4.5,ang,"[['fru'], ['ang'], ['ang'], ['fru', 'neu']]",[-55 -41 -34 ... 110  86  70],Do you know what was in that little bag that I could have just easily put in overhead compartment but no I had to check?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
143.52,149.35,Ses01M_impro05_M022,1.5,4.0,4.5,ang,"[['fru'], ['ang'], ['ang'], ['fru', 'neu']]",[-289 -300 -308 ...   12   47   63],My computer which has all of my data which I'm collecting right now.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
149.88,156.39,Ses01M_impro05_M023,1.0,3.5,5.0,ang,"[['ang'], ['ang'], ['ang'], ['fru', 'sur', 'ang']]",[-227 -249 -230 ...   40  -13  -42],Yeah it's really unfortunate you know why because I'm going to get fired if I don't get that.  So I need to have that back.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
156.46,159.96,Ses01M_impro05_M024,1.5,4.0,4.5,ang,"[['fru'], ['ang'], ['ang'], ['fru', 'ang']]",[ 81  88 163 ...  30  36  66],"Fifty dollars is not going to cover me for my job, okay?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
160.02,167.01,Ses01M_impro05_M025,2.0,4.5,4.0,ang,"[['fru'], ['ang'], ['ang'], ['fru', 'ang']]",[ 161  429  650 ... -682 -560 -454],Well you need to find it. Can I just go back there and look through the bags?  Can I just go back there and just go through maybe I'll find it.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
167.01,173.73,Ses01M_impro05_M026,1.5,5.0,4.5,ang,"[['fru'], ['ang'], ['ang'], ['fru', 'ang']]",[-359 -302 -298 ...  760  854  954],It'll be a lot more than what you're doing sitting here and just give me lip service.  I'd like to go back at least do some aggressive searching for my stuff.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
175.2775,181.46,Ses01M_impro05_M027,1.5,4.0,4.0,ang,"[['fru'], ['ang'], ['ang'], ['fru', 'dis']]",[496 476 459 ...  71  79  91],"Sure, yeah right you have plenty of aggressive searching going on, aggressive searching, drinking coffee and smoking cigarettes.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
181.495,186.82,Ses01M_impro05_M028,1.5,4.5,4.5,ang,"[['ang'], ['ang'], ['ang'], ['dis', 'ang']]",[-99 -82 -61 ...  22 127 114],I know what you guys do when you're not working you're union people; you just sit around on your ass.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
201.2825,203.71,Ses01M_impro05_M031,1.0,5.0,4.5,ang,"[['ang'], ['ang'], ['ang'], ['ang']]",[203 269 220 ...  91 123 131],Thank you very much.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
10.0955,12.68,Ses01M_impro06_F000,3.0,2.5,2.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ -64  -76 -105 ...   47   55   37],You okay?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
23.26,26.3875,Ses01M_impro06_F001,3.0,2.0,2.5,neu,"[['neu'], ['sad'], ['neu'], ['fea', 'neu']]",[-227 -192 -208 ... -183 -170 -148],What's happened?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
39.43,41.75,Ses01M_impro06_F002,3.0,2.0,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[-40 -22 -21 ...  38  85 135],You don't have to if you don't want to.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
61.86,64.65,Ses01M_impro06_F003,2.5,2.0,2.5,sad,"[['sad'], ['sad'], ['neu'], ['sad']]",[ 57  52  59 ... 110  53  35],I'm sorry to hear that.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
67.277,70.12,Ses01M_impro06_F004,2.5,2.0,2.0,sad,"[['sad'], ['sad'], ['neu'], ['sur', 'sad']]",[ -45  -79 -109 ...  -46  -42  -58],You've been taking care of it all?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
70.205,72.2704,Ses01M_impro06_F005,2.5,2.0,3.5,sad,"[['sad'], ['sad'], ['neu'], ['sad']]",[ 10   2 -21 ... -38  -1 -38],Oh Jesus.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
76.5016,79.03,Ses01M_impro06_F006,3.0,2.0,2.5,sad,"[['sad'], ['sad'], ['oth'], ['neu']]",[-85 -85 -83 ...  20  33  32],He sick for awhile?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
87.2562,89.47,Ses01M_impro06_F007,3.0,2.0,3.0,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[-12   4  -2 ...  21  28  30],Was it an accident?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
94.62,96.52,Ses01M_impro06_F008,2.5,2.0,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[-216 -284 -296 ...  -70  -57  -33],how was sick?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
97.45,101.42,Ses01M_impro06_F009,2.5,3.0,3.0,neu,"[['neu'], ['sad'], ['neu'], ['sad']]",[  18   -7  -18 ... -165  -88   -1],"Well, I'm confused.  He was sick or it was an accident?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
101.5,105.8675,Ses01M_impro06_F010,2.5,3.0,3.0,neu,"[['neu'], ['sad'], ['neu'], ['sad']]",[131  75  83 ...  97 125 137],Oh. Really fast? Oh.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
107.02,108.56,Ses01M_impro06_F011,2.5,2.0,2.5,neu,"[['neu'], ['sad'], ['neu'], ['sad']]",[168 170 111 ... -32 -53 -74],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
112.615,113.9775,Ses01M_impro06_F012,2.5,2.5,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu', 'sad']]",[ 159  139  117 ... -101  -80  -67],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
117.85,120.8,Ses01M_impro06_F013,2.5,3.0,3.0,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[-60 -67 -63 ... 139 113 105],"Totally, yeah.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
131.1825,132.555,Ses01M_impro06_F014,3.0,2.5,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu', 'sad']]",[209 227 229 ...  29  -5 -19],Mmhmm.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
143.9425,145.16,Ses01M_impro06_F015,3.0,2.5,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[  81   51   56 ... -354 -485 -562],Lock,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
145.94,147.78,Ses01M_impro06_F016,3.0,2.0,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[-426 -394 -356 ...   80   55   40],Mmhmm.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
148.265,150.71,Ses01M_impro06_F017,2.5,3.0,3.0,neu,"[['neu'], ['sad'], ['neu'], ['neu', 'sad']]",[ -68  -73 -104 ... -609 -521 -468],The plans you make [GARBAGE].,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
157.23,159.57,Ses01M_impro06_F018,2.5,3.0,3.0,neu,"[['neu'], ['sad'], ['neu'], ['neu', 'sad']]",[137 132 131 ... 124 103  76],It leaves a hole for you too.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
159.75,163.9425,Ses01M_impro06_F019,3.0,2.5,3.0,neu,"[['neu'], ['sad'], ['neu'], ['neu', 'sad']]",[ 89  81  67 ... 191 157 132],"It leaves a hole for you too, in your plans together.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
178.3706,181.43,Ses01M_impro06_F020,2.5,2.5,3.5,neu,"[['neu'], ['sad'], ['neu'], ['neu', 'hap', 'sad']]",[-109 -114 -119 ...   45   43   65],It gets better.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
184.26,186.2647,Ses01M_impro06_F021,2.5,2.0,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[ 51  24 -24 ... 167 148 119],Mmhmm.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
188.97,190.92,Ses01M_impro06_F022,2.5,2.0,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[-153 -148 -130 ...  210  211  212],MMhmm.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
197.06,199.05,Ses01M_impro06_F023,3.0,2.0,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[141  99  96 ...  98 113 133],Mmhmm.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
200.3676,203.16,Ses01M_impro06_F024,3.0,2.0,3.0,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[215 216 204 ...  29  26 -13],How long did you know each other?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
208.8826,210.7397,Ses01M_impro06_F025,2.5,2.0,2.5,neu,"[['neu'], ['sad'], ['neu'], ['neu']]",[ -31  -58  -67 ... -106 -120  -66],That's a long time.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
